Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,5,420,25,1710,650.99,0.000%,.07686,0.68,0.01,9118.0
Login,5,2129,72,9691,3783.31,0.000%,.07709,0.79,0.08,10449.0
List Products,5,375,105,999,328.77,0.000%,.09023,11.26,0.07,127744.2
Look at Product,5,1504,171,6219,2362.14,0.000%,.09086,11.20,0.07,126218.8
Add Product to Cart,5,3064,199,13924,5431.48,0.000%,.10202,2.97,0.17,29830.6
List Products with different page,5,4792,307,22411,8809.66,0.000%,.14128,17.39,0.12,126063.0
Add Product 2 to Cart,5,843,164,3244,1201.29,0.000%,.38037,11.34,0.74,30527.4
Logout,5,214,71,511,160.89,0.000%,.50140,5.30,0.90,10823.0
TOTAL,40,1667,25,22411,4286.26,0.000%,.59943,34.45,0.67,58846.8
