Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,5,40,13,101,31.61,0.000%,1.47493,13.13,0.26,9118.0
Login,5,59,44,79,14.95,0.000%,1.50060,15.31,1.59,10449.0
List Products,5,165,48,291,77.86,0.000%,1.51286,170.05,1.19,115099.8
Look at Product,5,105,51,208,58.68,0.000%,1.56446,169.38,1.21,110868.0
Add Product to Cart,5,108,70,144,25.58,0.000%,1.61134,44.47,2.84,28258.6
List Products with different page,5,122,31,189,65.42,0.000%,1.60565,183.34,1.46,116927.6
Add Product 2 to Cart,5,135,75,315,91.01,0.000%,1.65782,46.87,3.31,28951.0
Logout,5,55,29,70,14.32,0.000%,1.66058,17.55,3.06,10823.0
TOTAL,40,98,13,315,68.45,0.000%,10.04773,528.01,11.68,53811.9
