Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,500,401,12,1537,244.82,0.000%,9.80777,87.33,1.71,9118.0
Login,500,741,39,2124,377.49,0.000%,9.75800,99.57,10.35,10449.0
List Products,500,862,33,2806,462.70,0.000%,9.70685,1119.28,7.62,118076.0
Look at Product,500,1533,47,3952,703.17,0.000%,9.63744,1064.17,7.45,113070.8
Add Product to Cart,500,1677,54,4057,729.15,0.000%,9.56846,264.13,16.86,28266.8
List Products with different page,500,867,33,2451,429.99,0.000%,9.55621,1100.73,8.68,117948.9
Add Product 2 to Cart,500,1730,62,4742,790.35,0.000%,9.55895,270.22,19.10,28947.6
Logout,500,674,18,1944,364.87,0.000%,9.57213,101.17,17.65,10823.0
TOTAL,4000,1061,12,4742,724.62,0.000%,76.01383,4052.15,88.42,54587.5
