Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,50,68,15,214,46.12,0.000%,6.03136,53.71,1.05,9118.0
Login,50,187,49,444,72.62,0.000%,5.96019,60.82,6.32,10448.9
List Products,50,180,50,463,84.14,0.000%,5.89067,721.93,4.62,125496.8
Look at Product,50,324,122,729,122.59,0.000%,5.76635,676.42,4.46,120120.4
Add Product to Cart,50,306,107,737,112.66,0.000%,5.72803,158.13,10.09,28268.9
List Products with different page,50,171,52,539,97.56,0.000%,5.78838,705.55,5.26,124815.8
Add Product 2 to Cart,50,336,78,801,145.97,0.000%,5.80114,164.07,11.60,28961.8
Logout,50,97,34,210,40.94,0.000%,5.94742,62.86,10.98,10823.0
TOTAL,400,209,15,801,136.38,0.000%,42.79448,2392.84,49.80,57256.7
