Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,5000,5698,16,16276,2144.57,0.020%,11.62939,103.55,2.03,9117.6
Login,5000,12019,101,27663,3870.15,0.000%,11.29489,115.25,11.98,10448.5
List Products,5000,8380,219,19337,2857.41,0.000%,11.13611,1291.21,8.74,118731.0
Look at Product,5000,10788,455,21839,3391.42,0.000%,10.99254,1220.52,8.49,113696.3
Add Product to Cart,5000,17675,1484,41236,5027.17,0.000%,10.88059,299.84,19.16,28219.0
List Products with different page,5000,8621,275,19325,2728.24,0.000%,10.94295,1267.80,9.93,118635.8
Add Product 2 to Cart,5000,15317,244,41045,4529.34,0.000%,11.09907,313.32,22.17,28906.6
Logout,5000,10612,23,28656,4263.04,0.080%,11.13926,117.71,20.55,10821.0
TOTAL,40000,11139,16,41236,5190.90,0.013%,86.65305,4639.15,100.77,54822.0
