Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,39,18087,88,288411,48927.87,10.256%,.06867,0.56,0.01,8382.7
Login,38,32276,135,289027,76455.21,26.316%,.06692,0.59,0.05,8956.4
List Products,35,16521,103,275419,51554.09,22.857%,.06165,5.62,0.04,93407.5
Look at Product,34,17522,212,280824,47449.36,20.588%,.05990,5.60,0.04,95807.9
Add Product to Cart,33,16203,262,158082,35592.55,24.242%,.06134,1.44,0.09,24087.2
List Products with different page,33,26778,147,275303,57421.28,30.303%,.05819,4.76,0.04,83845.8
Add Product 2 to Cart,30,16947,809,154472,33976.13,30.000%,.08392,1.90,0.14,23212.5
Logout,30,20039,187,282831,50894.16,20.000%,.05299,0.50,0.08,9639.4
TOTAL,272,20713,88,289027,52742.70,22.794%,.47895,20.19,0.43,43166.7
