Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,50,51,13,311,44.36,0.000%,9.13576,81.35,1.60,9118.0
Login,50,107,30,311,65.94,0.000%,9.11079,92.97,9.65,10449.0
List Products,50,92,29,230,38.88,0.000%,9.10913,1060.49,7.15,119215.2
Look at Product,50,184,49,461,105.16,0.000%,9.00414,998.95,6.96,113605.8
Add Product to Cart,50,178,40,379,70.79,0.000%,8.85112,244.31,15.60,28265.2
List Products with different page,50,94,26,313,44.03,0.000%,8.80437,1020.39,7.99,118677.6
Add Product 2 to Cart,50,212,48,520,115.47,0.000%,8.76885,248.08,17.54,28970.1
Logout,50,70,22,238,43.48,0.000%,8.84330,93.47,16.33,10823.0
TOTAL,400,123,13,520,90.72,0.000%,66.33499,3555.82,77.19,54890.5
