Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,2500,6306,9,60579,16915.92,0.000%,19.29995,171.85,2.83,9118.0
Login,2500,1167,35,14552,1033.83,0.000%,19.30353,196.97,19.38,10448.5
List Products,2500,1389,23,15810,1417.25,0.000%,19.32083,2244.53,14.61,118959.8
Look at Product,2500,2110,35,16308,1449.63,0.000%,19.72091,2152.86,14.67,111786.3
Add Product to Cart,2500,2645,47,49498,3064.52,0.000%,20.13872,544.62,34.32,27692.6
List Products with different page,2500,2057,23,46986,3103.01,0.000%,20.82691,2416.22,18.30,118798.5
Add Product 2 to Cart,2500,2215,55,17761,1438.73,0.000%,21.09900,584.68,40.95,28376.4
Logout,2500,1099,22,22559,1219.24,0.000%,21.58708,228.16,38.60,10823.0
TOTAL,20000,2373,9,60579,6458.37,0.000%,153.86272,8189.04,172.38,54500.4
