Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,50,41,14,131,20.73,0.000%,9.87362,87.92,1.45,9118.0
Login,50,103,38,191,35.37,0.000%,9.74469,99.43,9.77,10448.7
List Products,50,95,25,190,36.12,0.000%,9.53289,1113.89,7.21,119651.6
Look at Product,50,163,48,275,50.64,0.000%,9.43931,1031.42,7.03,111891.0
Add Product to Cart,50,184,50,293,57.12,0.000%,9.39850,254.36,16.02,27713.9
List Products with different page,50,91,31,188,40.08,0.000%,9.41797,1100.89,8.28,119697.7
Add Product 2 to Cart,50,187,52,305,54.83,0.000%,9.38967,260.49,18.24,28408.5
Logout,50,67,17,119,24.01,0.000%,9.51656,100.58,17.03,10823.0
TOTAL,400,116,14,305,66.29,0.000%,71.72315,3832.64,80.39,54719.1
