Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,500,374,42,1702,258.00,0.000%,10.20075,90.83,1.49,9118.0
Login,500,729,66,2873,425.13,0.000%,10.19805,104.06,10.24,10449.0
List Products,500,862,66,3915,522.46,0.000%,10.19347,1194.70,7.71,120015.1
Look at Product,500,1474,121,3899,675.51,0.000%,10.18330,1096.38,7.58,110248.2
Add Product to Cart,500,1556,107,5028,693.76,0.000%,10.19555,271.86,17.39,27304.4
List Products with different page,500,845,45,2800,496.09,0.000%,10.26230,1200.79,9.02,119817.6
Add Product 2 to Cart,500,1667,64,6043,774.40,0.000%,10.29378,281.43,20.00,27995.8
Logout,500,636,29,2296,391.30,0.000%,10.38529,109.77,18.58,10823.0
TOTAL,4000,1018,29,6043,713.55,0.000%,80.40039,4276.88,90.13,54471.4
