Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,1000,7126,38,29341,7392.56,49.500%,30.22152,175.94,2.24,5961.4
Login,1000,3146,135,21750,2024.40,48.500%,27.82880,182.36,14.39,6710.4
List Products,1000,917,0,7504,1113.63,49.500%,26.05388,1557.86,9.95,61228.7
Look at Product,1000,1606,0,9600,1913.33,49.500%,24.41585,1287.63,9.18,54003.2
Add Product to Cart,1000,5006,12,21773,4110.75,49.500%,24.14934,341.72,21.48,14490.1
List Products with different page,1000,912,0,6658,1147.51,49.500%,25.70033,1535.00,11.41,61160.4
Add Product 2 to Cart,1000,5279,114,20841,4454.15,49.500%,26.81109,397.78,27.77,15192.4
Logout,1000,3145,24,19172,3281.49,27.900%,29.06554,241.68,31.73,8514.6
TOTAL,8000,3392,0,29341,4303.59,46.675%,179.71874,4985.73,108.05,28407.6
