Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,5000,5495,11,60865,12891.06,41.580%,33.30891,210.34,2.85,6466.4
Login,5000,2763,33,26275,2908.50,40.340%,33.30536,238.82,19.98,7342.7
List Products,5000,800,0,24355,1633.78,42.040%,33.30979,2252.12,14.58,69234.1
Look at Product,5000,1230,0,27214,1891.70,42.520%,33.30713,2099.77,14.20,64555.7
Add Product to Cart,5000,3698,12,27385,3686.80,43.200%,33.35201,557.51,33.07,17117.2
List Products with different page,5000,839,0,28869,1822.60,43.460%,33.52690,2212.05,16.62,67561.7
Add Product 2 to Cart,5000,4167,51,27819,4365.18,43.640%,33.56921,573.45,37.61,17492.5
Logout,5000,3283,17,27746,4490.94,36.220%,33.80206,260.10,36.29,7879.4
TOTAL,40000,2784,0,60865,5673.41,41.625%,265.83019,8360.73,173.80,32206.2
