Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,50,18,9,48,10.38,0.000%,4.87615,43.42,0.71,9118.0
Login,50,39,30,64,7.77,0.000%,4.88186,49.81,4.90,10448.8
List Products,50,34,21,142,16.78,0.000%,4.89141,575.11,3.70,120396.8
Look at Product,50,47,33,166,19.59,0.000%,4.89141,504.04,3.64,105519.3
Add Product to Cart,50,54,40,108,12.98,0.000%,4.88711,120.17,8.33,25178.6
List Products with different page,50,34,26,69,7.06,0.000%,4.89764,575.40,4.31,120304.9
Add Product 2 to Cart,50,52,41,90,8.31,0.000%,4.86808,123.00,9.46,25873.3
Logout,50,26,18,52,6.26,0.000%,4.88138,51.59,8.74,10823.0
TOTAL,400,38,9,166,16.94,0.000%,37.88238,1977.65,42.46,53457.8
