Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,50,33,14,59,11.42,0.000%,12.29407,109.47,1.80,9118.0
Login,50,70,34,131,22.76,0.000%,12.31224,125.63,12.35,10448.9
List Products,50,72,24,161,28.26,0.000%,12.28501,1445.38,9.30,120478.0
Look at Product,50,121,50,201,35.97,0.000%,12.24290,1263.51,9.12,105680.7
Add Product to Cart,50,127,43,256,42.66,0.000%,12.24590,301.09,20.88,25176.8
List Products with different page,50,78,29,171,27.09,0.000%,12.29105,1443.25,10.81,120241.3
Add Product 2 to Cart,50,134,50,255,42.11,0.000%,12.01346,303.51,23.35,25870.5
Logout,50,52,20,114,18.64,0.000%,12.16841,128.61,21.78,10823.0
TOTAL,400,86,14,256,46.23,0.000%,90.19166,4710.37,101.12,53479.7
