Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,500,190,11,815,127.42,0.000%,17.46237,155.49,2.56,9118.0
Login,500,374,30,1245,195.55,0.000%,17.41008,177.65,17.48,10449.0
List Products,500,404,22,1274,229.66,0.000%,17.37559,2007.50,13.15,118308.8
Look at Product,500,705,37,2019,369.10,0.000%,17.32382,1882.66,12.90,111283.1
Add Product to Cart,500,776,43,2293,387.78,0.000%,17.24138,466.75,29.40,27721.2
List Products with different page,500,401,23,1577,231.77,0.000%,17.24197,1992.28,15.16,118321.2
Add Product 2 to Cart,500,804,52,2232,397.41,0.000%,17.21585,477.47,33.42,28400.1
Logout,500,313,19,1182,186.80,0.000%,17.23544,182.17,30.81,10823.0
TOTAL,4000,496,11,2293,356.55,0.000%,136.65869,7247.05,153.16,54303.1
