Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,2500,7934,31,63785,18343.51,0.600%,8.14316,72.20,1.19,9079.7
Login,2500,7754,135,124331,17674.20,0.800%,8.14144,82.59,8.11,10387.6
List Products,2500,6641,117,65556,13184.36,0.520%,8.45606,973.40,6.35,117875.9
Look at Product,2500,6543,0,67008,9893.32,0.760%,8.86273,936.39,6.53,108190.7
Add Product to Cart,2500,7396,160,120680,10834.30,0.680%,9.19010,243.05,15.54,27081.2
List Products with different page,2500,3658,0,62168,5220.30,0.680%,9.55716,1098.08,8.33,117654.0
Add Product 2 to Cart,2500,5584,104,123452,6390.62,0.880%,9.59826,260.15,18.45,27753.9
Logout,2500,3871,33,116449,8453.58,0.800%,9.70621,101.97,17.20,10757.3
TOTAL,20000,6173,0,124331,12231.74,0.715%,64.89082,3396.47,72.08,53597.5
